artifact_schema_version,news_id,ticker,article_date,annotator_count,consensus_ticker_relevance,consensus_materiality,consensus_direction,consensus_event_type,consensus_time_horizon,consensus_is_stock_relevant,consensus_materiality_score,consensus_expected_impact_score,consensus_uncertainty_score,consensus_novelty_score,consensus_reasoning_confidence,evidence_span,disagreement_fields,high_disagreement_fields,unanimous_fields,majority_fields,consensus_method,agreement_level,analysis_eligible,exclusion_reasons,quality_flags,requires_human_review,review_flags,reason
pseudo_label_consensus_v2,0fc9f81d4478e17d,NAB,2024-04-12,3,direct,medium,support,capital,medium_term,True,3,3,3,2,3,Nghị quyết HĐQT về việc triển khai phương án tăng vốn điều lệ năm 2024,[],[],"['direction', 'event_type', 'is_stock_relevant', 'ticker_relevance', 'time_horizon']",['materiality'],majority_vote,medium,True,[],['none'],False,['none'],"Deterministic pseudo-label consensus; eligibility excludes unresolved, irrelevant, missing-evidence, and provenance-conflict rows."
pseudo_label_consensus_v2,102309dd8fe68b6a,KLB,2025-06-10,3,direct,medium,risk,debt,medium_term,True,3,3,3,3,3,KLB: Nhận được văn bản của Ủy ban Chứng khoán Nhà Nước về việc tài liệu báo cáo chào bán trái phiếu ra công chúng Đợt 3,[],[],"['event_type', 'is_stock_relevant', 'ticker_relevance']","['direction', 'materiality', 'time_horizon']",majority_vote,medium,True,[],['none'],False,['none'],"Deterministic pseudo-label consensus; eligibility excludes unresolved, irrelevant, missing-evidence, and provenance-conflict rows."
pseudo_label_consensus_v2,11b64ee6831d5a88,VIC,2025-04-02,3,indirect,medium,support,project,medium_term,True,3,3,3,3,4,"mới đây Tập đoàn Vingroup tổ chức lễ khởi công dự án khu đô thị mới Hậu Nghĩa - Đức Hòa tại huyện Đức Hòa, Long An. Dự án được tập đoàn Vingroup gọi tên là Vinhomes Green City",[],[],"['direction', 'event_type', 'is_stock_relevant', 'materiality', 'time_horizon']",['ticker_relevance'],majority_vote,medium,True,[],['none'],False,['none'],"Deterministic pseudo-label consensus; eligibility excludes unresolved, irrelevant, missing-evidence, and provenance-conflict rows."
pseudo_label_consensus_v2,144227efbfb0b1fd,CTG,2024-10-31,3,direct,low,support,market,intraday,True,2,2,3,2,4,"CTG +2,73% lên 35.700 đồng, khớp 8,4 triệu đơn vị",[],[],"['direction', 'event_type', 'is_stock_relevant', 'ticker_relevance', 'time_horizon']",['materiality'],majority_vote,medium,True,[],['none'],False,['none'],"Deterministic pseudo-label consensus; eligibility excludes unresolved, irrelevant, missing-evidence, and provenance-conflict rows."
pseudo_label_consensus_v2,16d9ad966c06fb76,PPC,2023-03-23,3,direct,high,risk,legal,short_term,True,4,4,2,4,4,PPC: Quyết định đưa cổ phiếu vào diện cảnh báo từ 29.3.2023,[],[],"['direction', 'event_type', 'is_stock_relevant', 'ticker_relevance', 'time_horizon']",['materiality'],majority_vote,medium,True,[],['none'],False,['none'],"Deterministic pseudo-label consensus; eligibility excludes unresolved, irrelevant, missing-evidence, and provenance-conflict rows."
pseudo_label_consensus_v2,198ab407720b7549,VJC,2022-09-13,3,direct,high,neutral,capital,medium_term,True,4,4,3,3,3,vietjet muon chao ban rieng le 34 8 trieu co phieu voi gia 135 000 dong cp huy dong gan 4 700 ty dong,[],[],"['event_type', 'is_stock_relevant', 'materiality', 'ticker_relevance']","['direction', 'time_horizon']",majority_vote,medium,True,[],['none'],False,['none'],"Deterministic pseudo-label consensus; eligibility excludes unresolved, irrelevant, missing-evidence, and provenance-conflict rows."
pseudo_label_consensus_v2,1aa4881826203fb1,HAH,2024-06-12,3,direct,low,neutral,governance,unclear,True,1,1,1,1,5,HAH: Thông báo ký kết hợp đồng kiểm toán BCTC 2024,[],"['materiality_score', 'novelty_score', 'reasoning_confidence', 'uncertainty_score']","['direction', 'event_type', 'is_stock_relevant', 'materiality', 'ticker_relevance', 'time_horizon']",[],unanimous,high,True,[],['numeric_score_outlier'],True,['numeric_score_outlier'],"Deterministic pseudo-label consensus; eligibility excludes unresolved, irrelevant, missing-evidence, and provenance-conflict rows."
pseudo_label_consensus_v2,1b549b6976851a4a,VCB,2024-10-10,3,direct,medium,support,market,medium_term,True,3,3,2,3,4,"Việc mua vào 60.000 cổ phiếu VCB với giá trị hơn 5,5 tỷ đồng đã nâng tỷ trọng của cổ phiếu này lên 6,68% trong danh mục, chỉ đứng sau TLG.",[],[],"['direction', 'event_type', 'is_stock_relevant']","['materiality', 'ticker_relevance', 'time_horizon']",majority_vote,medium,True,[],['none'],False,['none'],"Deterministic pseudo-label consensus; eligibility excludes unresolved, irrelevant, missing-evidence, and provenance-conflict rows."
pseudo_label_consensus_v2,212fc5aaf3a97d45,ELC,2026-06-24,3,direct,high,support,ma,medium_term,True,4,4,2,4,4,,[],[],"['direction', 'event_type', 'is_stock_relevant', 'ticker_relevance']","['materiality', 'time_horizon']",majority_vote,medium,False,['evidence_unavailable'],"['data_quality_issue', 'missing_or_disputed_evidence']",True,"['data_quality_issue', 'missing_or_disputed_evidence']","Deterministic pseudo-label consensus; eligibility excludes unresolved, irrelevant, missing-evidence, and provenance-conflict rows."
pseudo_label_consensus_v2,225adc1145ba133c,UNKNOWN,2025-04-25,3,direct,high,mixed,earnings,medium_term,True,4,4,3,4,4,"CTCP Vĩnh Hoàn (mã chứng khoán VHC) tổ chức ĐHĐCĐ thường niên năm 2025, thông qua lế hoạch doanh thu 10.900 tỷ đồng và lợi nhuận sau thuế 1.000 tỷ đồng, lần lượt giảm 13% và 18% so với năm ngoái.",[],[],"['direction', 'event_type', 'is_stock_relevant', 'materiality', 'ticker_relevance', 'time_horizon']",[],unanimous,high,True,[],['unclear_direction'],True,['unclear_direction'],"Deterministic pseudo-label consensus; eligibility excludes unresolved, irrelevant, missing-evidence, and provenance-conflict rows."
pseudo_label_consensus_v2,24debd1d8c9f2ef5,LPB,2026-01-08,3,direct,low,neutral,governance,short_term,True,1,1,1,1,5,"LPB: Thông báo về ngày đăng ký cuối cùng để thực hiện quyền ứng cử, đề cử để bầu bổ sung thành viên HĐQT nhiệm kỳ IV (2023-2028) và tham dự ĐHĐCĐ thường niên năm 2026",[],"['materiality_score', 'novelty_score', 'reasoning_confidence', 'uncertainty_score']","['direction', 'event_type', 'is_stock_relevant', 'materiality', 'ticker_relevance', 'time_horizon']",[],unanimous,high,True,[],"['data_quality_issue', 'numeric_score_outlier']",True,"['data_quality_issue', 'numeric_score_outlier']","Deterministic pseudo-label consensus; eligibility excludes unresolved, irrelevant, missing-evidence, and provenance-conflict rows."
pseudo_label_consensus_v2,289bbe995b7879b7,NVL,2025-09-27,3,direct,low,neutral,capital,short_term,True,2,2,4,2,3,NVL: Quyết định của TGĐ về việc gia hạn thời gian liên quan ESOP,[],[],"['direction', 'event_type', 'is_stock_relevant', 'materiality', 'ticker_relevance', 'time_horizon']",[],unanimous,high,True,[],['none'],False,['none'],"Deterministic pseudo-label consensus; eligibility excludes unresolved, irrelevant, missing-evidence, and provenance-conflict rows."
pseudo_label_consensus_v2,295d0eb26b51aef1,VNM,2026-04-24,3,direct,low,neutral,governance,unclear,True,1,1,4,1,4,VNM: Quy chế nội bộ về quản trị công ty,[],"['materiality_score', 'novelty_score']","['direction', 'event_type', 'is_stock_relevant', 'materiality', 'ticker_relevance', 'time_horizon']",[],unanimous,high,True,[],['numeric_score_outlier'],True,['numeric_score_outlier'],"Deterministic pseudo-label consensus; eligibility excludes unresolved, irrelevant, missing-evidence, and provenance-conflict rows."
pseudo_label_consensus_v2,2b1d360a0da9eaca,SSI,2025-07-10,3,direct,medium,support,market,short_term,True,3,3,2,2,4,"SSI dẫn đầu danh sách được mua ròng với giá trị lên tới 558 tỷ đồng – đánh dấu phiên mua ròng thứ ba liên tiếp với quy mô lớn, phản ánh kỳ vọng tích cực vào nhóm chứng khoán.",[],[],"['direction', 'event_type', 'is_stock_relevant', 'ticker_relevance', 'time_horizon']",['materiality'],majority_vote,medium,True,[],['none'],False,['none'],"Deterministic pseudo-label consensus; eligibility excludes unresolved, irrelevant, missing-evidence, and provenance-conflict rows."
pseudo_label_consensus_v2,2cd1cea4e13c035f,FPT,2025-05-21,3,direct,low,neutral,capital,medium_term,True,2,2,3,2,4,FPT: Điều lệ công ty cập nhật sau khi tăng vốn điều lệ,[],['novelty_score'],"['direction', 'event_type', 'is_stock_relevant', 'materiality', 'ticker_relevance', 'time_horizon']",[],unanimous,high,True,[],['numeric_score_outlier'],True,['numeric_score_outlier'],"Deterministic pseudo-label consensus; eligibility excludes unresolved, irrelevant, missing-evidence, and provenance-conflict rows."
pseudo_label_consensus_v2,342191df7069efc8,BID,2026-04-08,3,direct,low,neutral,debt,medium_term,True,2,1,3,2,3,CBTT về việc đăng ký giao dịch trái phiếu BID12560 của Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,[],"['materiality_score', 'novelty_score']","['direction', 'materiality']","['event_type', 'is_stock_relevant', 'ticker_relevance', 'time_horizon']",majority_vote,medium,True,[],['numeric_score_outlier'],True,['numeric_score_outlier'],"Deterministic pseudo-label consensus; eligibility excludes unresolved, irrelevant, missing-evidence, and provenance-conflict rows."
pseudo_label_consensus_v2,351369f49f8eee29,VCG,2023-11-08,3,direct,low,neutral,capital,short_term,True,2,2,4,2,3,VCG: Quyết định của HĐQT về việc mua cổ phiếu chưa chào bán hết của CTCP Vinaconex 25,[],[],"['direction', 'event_type', 'is_stock_relevant', 'materiality', 'ticker_relevance']",['time_horizon'],majority_vote,medium,True,[],['none'],False,['none'],"Deterministic pseudo-label consensus; eligibility excludes unresolved, irrelevant, missing-evidence, and provenance-conflict rows."
pseudo_label_consensus_v2,35a935ba0c92f8d1,VCI,2026-04-03,3,direct,low,neutral,governance,unclear,True,1,1,4,1,3,VCI: Điều lệ công ty 2026 Công ty Cổ phần Chứng khoán Vietcap thông báo Điều lệ công ty,[],"['materiality_score', 'novelty_score']","['direction', 'event_type', 'is_stock_relevant', 'materiality', 'ticker_relevance', 'time_horizon']",[],unanimous,high,True,[],['numeric_score_outlier'],True,['numeric_score_outlier'],"Deterministic pseudo-label consensus; eligibility excludes unresolved, irrelevant, missing-evidence, and provenance-conflict rows."
pseudo_label_consensus_v2,362b943c41ecea06,UNKNOWN,2025-08-04,3,market_wide,high,support,market,short_term,True,4,4,2,3,4,"Chỉ số chính thị trường chứng khoán VN-Index tăng mạnh nhất trong 4 tháng, vượt xa mốc 1.500 điểm khi VIC bật trần và nhóm ngân hàng đồng loạt tăng tốc.",[],[],"['event_type', 'is_stock_relevant', 'materiality', 'ticker_relevance']","['direction', 'time_horizon']",majority_vote,medium,True,[],['none'],False,['none'],"Deterministic pseudo-label consensus; eligibility excludes unresolved, irrelevant, missing-evidence, and provenance-conflict rows."
pseudo_label_consensus_v2,3af3366e99f22490,DPM,2025-07-14,3,direct,medium,support,capital,medium_term,True,3,3,3,2,3,DPM: Thông báo phát hành cổ phiếu để tăng vốn cổ phần từ NVCSH,[],[],"['direction', 'event_type', 'is_stock_relevant', 'materiality', 'ticker_relevance', 'time_horizon']",[],unanimous,high,True,[],['none'],False,['none'],"Deterministic pseudo-label consensus; eligibility excludes unresolved, irrelevant, missing-evidence, and provenance-conflict rows."
pseudo_label_consensus_v2,3ff0d5477f4cee30,OCB,2025-12-17,3,direct,medium,risk,debt,short_term,True,3,3,2,3,3,Thông báo về việc hủy bỏ đăng ký giao dịch đối với trái phiếu OCB12421 của Ngân hàng TMCP Phương Đông,[],['expected_impact_score'],"['event_type', 'is_stock_relevant', 'ticker_relevance']","['direction', 'materiality', 'time_horizon']",majority_vote,medium,True,[],['numeric_score_outlier'],True,['numeric_score_outlier'],"Deterministic pseudo-label consensus; eligibility excludes unresolved, irrelevant, missing-evidence, and provenance-conflict rows."
pseudo_label_consensus_v2,4337fa7412e5250d,VNM,2025-03-31,3,direct,high,support,dividend,medium_term,True,4,4,2,4,4,"Vinamilk dự kiến nâng cổ tức tiền mặt năm 2024 lên 43,5% – cao nhất kể từ 2018.",[],[],"['direction', 'event_type', 'is_stock_relevant', 'materiality', 'ticker_relevance', 'time_horizon']",[],unanimous,high,True,[],['none'],False,['none'],"Deterministic pseudo-label consensus; eligibility excludes unresolved, irrelevant, missing-evidence, and provenance-conflict rows."
pseudo_label_consensus_v2,46eaa2c47f4b55b6,UNKNOWN,2025-06-04,3,market_wide,medium,neutral,market,long_term,False,3,3,3,3,4,,[],[],"['ticker_relevance', 'time_horizon']","['direction', 'event_type', 'is_stock_relevant', 'materiality']",majority_vote,medium,False,"['evidence_unavailable', 'not_directly_stock_relevant']","['data_quality_issue', 'missing_or_disputed_evidence']",True,"['data_quality_issue', 'missing_or_disputed_evidence']","Deterministic pseudo-label consensus; eligibility excludes unresolved, irrelevant, missing-evidence, and provenance-conflict rows."
pseudo_label_consensus_v2,4a9f229783390a40,CTG,2026-04-03,3,direct,high,support,dividend,medium_term,True,4,4,2,3,4,"VietinBank dự kiến chi hơn 16.200 tỷ đồng lợi nhuận giữ lại để chia cổ tức, đồng thời tiếp tục lộ trình tăng vốn trong năm 2026.",[],[],"['direction', 'is_stock_relevant', 'materiality', 'ticker_relevance', 'time_horizon']",['event_type'],majority_vote,medium,True,[],['none'],False,['none'],"Deterministic pseudo-label consensus; eligibility excludes unresolved, irrelevant, missing-evidence, and provenance-conflict rows."
pseudo_label_consensus_v2,4c44fbe1ea850e27,HPG,2025-06-26,3,direct,medium,mixed,dividend,short_term,True,3,3,2,2,4,"Ngày 26/6 là ngày giao dịch không hưởng quyền để nhận cổ tức năm 2024 của Tập đoàn Hòa Phát (HoSE: HPG). Theo kế hoạch đã được thông qua, doanh nghiệp thép đầu ngành sẽ chia toàn bộ cổ tức bằng cổ phiếu với tỷ lệ 20%.",[],[],"['direction', 'event_type', 'is_stock_relevant', 'materiality', 'ticker_relevance', 'time_horizon']",[],unanimous,high,True,[],['unclear_direction'],True,['unclear_direction'],"Deterministic pseudo-label consensus; eligibility excludes unresolved, irrelevant, missing-evidence, and provenance-conflict rows."
pseudo_label_consensus_v2,4eb06d4f458c89b0,ACB,2023-04-11,3,direct,low,neutral,governance,unclear,True,1,1,4,1,3,ACB: Nghị quyết HĐQT bổ sung tài liệu họp ĐHĐCĐ thường niên năm 2023,[],"['materiality_score', 'novelty_score']","['direction', 'event_type', 'materiality', 'ticker_relevance']","['is_stock_relevant', 'time_horizon']",majority_vote,medium,True,[],['numeric_score_outlier'],True,['numeric_score_outlier'],"Deterministic pseudo-label consensus; eligibility excludes unresolved, irrelevant, missing-evidence, and provenance-conflict rows."
pseudo_label_consensus_v2,4eec191da8766931,ACB,2026-06-04,3,direct,high,support,dividend,short_term,True,4,4,2,3,4,"ACB dự kiến chia cổ tức tổng tỷ lệ 20%, gồm 13% bằng cổ phiếu và 7% bằng tiền mặt với tổng số tiền 10,273 tỷ đồng.",[],[],"['direction', 'event_type', 'is_stock_relevant', 'ticker_relevance', 'time_horizon']",['materiality'],majority_vote,medium,True,[],['none'],False,['none'],"Deterministic pseudo-label consensus; eligibility excludes unresolved, irrelevant, missing-evidence, and provenance-conflict rows."
pseudo_label_consensus_v2,519081e652305911,BMP,2025-07-23,3,direct,high,support,earnings,short_term,True,4,4,2,4,5,"Lợi nhuận sau thuế đạt 329,9 tỷ đồng, cũng tăng 17,7%, đánh dấu mức cao nhất từ trước đến nay trong một quý và là lần đầu tiên vượt mốc 300 tỷ đồng.",[],"['materiality_score', 'reasoning_confidence', 'uncertainty_score']","['direction', 'event_type', 'is_stock_relevant', 'materiality', 'ticker_relevance', 'time_horizon']",[],unanimous,high,True,[],['numeric_score_outlier'],True,['numeric_score_outlier'],"Deterministic pseudo-label consensus; eligibility excludes unresolved, irrelevant, missing-evidence, and provenance-conflict rows."
pseudo_label_consensus_v2,55027dcd0418b7d9,UNKNOWN,2025-05-20,3,market_wide,medium,mixed,macro,medium_term,True,3,3,3,3,4,,[],[],"['direction', 'event_type', 'is_stock_relevant', 'materiality', 'ticker_relevance', 'time_horizon']",[],unanimous,high,False,['evidence_unavailable'],"['data_quality_issue', 'missing_or_disputed_evidence', 'unclear_direction']",True,"['data_quality_issue', 'missing_or_disputed_evidence', 'unclear_direction']","Deterministic pseudo-label consensus; eligibility excludes unresolved, irrelevant, missing-evidence, and provenance-conflict rows."
pseudo_label_consensus_v2,567b404ff43a81ef,MWG,2022-05-24,3,direct,medium,support,capital,medium_term,True,3,3,3,2,3,Nghị quyết HĐQT thông qua phương án tăng vốn điều lệ tại công ty con,[],[],"['event_type', 'is_stock_relevant', 'materiality', 'ticker_relevance', 'time_horizon']",['direction'],majority_vote,medium,True,[],['none'],False,['none'],"Deterministic pseudo-label consensus; eligibility excludes unresolved, irrelevant, missing-evidence, and provenance-conflict rows."
pseudo_label_consensus_v2,573f087835319097,SSI,2025-03-30,3,direct,high,support,capital,medium_term,True,4,4,2,3,4,SSI dự kiến sẽ chào bán riêng lẻ trong năm 2025 - 2026. Vốn điều lệ sau chào bán được nâng lên mức hơn 20.779 tỷ đồng.,[],[],"['direction', 'event_type', 'is_stock_relevant', 'ticker_relevance', 'time_horizon']",['materiality'],majority_vote,medium,True,[],['none'],False,['none'],"Deterministic pseudo-label consensus; eligibility excludes unresolved, irrelevant, missing-evidence, and provenance-conflict rows."
pseudo_label_consensus_v2,578037c8b4d40185,HDB,2025-12-26,3,direct,low,neutral,debt,short_term,True,2,2,3,2,3,CBTT về việc đăng ký giao dịch trái phiếu HDB12512 của NH TMCP Phát triển thành phố Hồ Chí Minh ( HDBANK),[],[],"['direction', 'event_type', 'is_stock_relevant', 'materiality', 'ticker_relevance']",['time_horizon'],majority_vote,medium,True,[],['none'],False,['none'],"Deterministic pseudo-label consensus; eligibility excludes unresolved, irrelevant, missing-evidence, and provenance-conflict rows."
pseudo_label_consensus_v2,5810fa6bc4156dd3,VCB,2025-07-16,3,direct,medium,mixed,analyst,short_term,True,3,3,3,2,4,"Lợi nhuận nửa đầu năm của Vietcombank được MBS dự báo tăng 4,5% so với cùng kỳ và hoàn thành khoảng 45% kế hoạch năm.",[],[],"['direction', 'is_stock_relevant', 'materiality', 'ticker_relevance', 'time_horizon']",['event_type'],majority_vote,medium,True,[],"['data_quality_issue', 'unclear_direction']",True,"['data_quality_issue', 'unclear_direction']","Deterministic pseudo-label consensus; eligibility excludes unresolved, irrelevant, missing-evidence, and provenance-conflict rows."
pseudo_label_consensus_v2,5822c6ef24630e2c,BMP,2025-04-04,3,direct,high,support,earnings,medium_term,True,4,4,2,3,4,"Năm 2025, Nhựa Bình Minh đặt kế hoạch doanh thu 5.362 tỷ đồng, lợi nhuận sau thuế 1.055 tỷ đồng, tăng lần lượt 15% và 6% so với thực hiện trong năm 2024.",[],[],"['direction', 'event_type', 'is_stock_relevant', 'ticker_relevance', 'time_horizon']",['materiality'],majority_vote,medium,True,[],['none'],False,['none'],"Deterministic pseudo-label consensus; eligibility excludes unresolved, irrelevant, missing-evidence, and provenance-conflict rows."
pseudo_label_consensus_v2,582cc478b9e7d45d,BID,2025-03-06,3,direct,low,neutral,governance,medium_term,True,1,1,1,1,5,BID: Thông báo ký kết hợp đồng kiểm toán BCTC 2025,[],"['materiality_score', 'novelty_score', 'reasoning_confidence', 'uncertainty_score']","['direction', 'event_type', 'is_stock_relevant', 'materiality', 'ticker_relevance']",['time_horizon'],majority_vote,medium,True,[],['numeric_score_outlier'],True,['numeric_score_outlier'],"Deterministic pseudo-label consensus; eligibility excludes unresolved, irrelevant, missing-evidence, and provenance-conflict rows."
pseudo_label_consensus_v2,58661f0e1af37ef5,VND,2022-08-18,3,direct,medium,risk,legal,short_term,True,3,3,3,3,3,VND: Quyết định của Cục thuế Thành phố Đà Nẵng về việc xử lý vi phạm hành chính về thuế,[],[],"['direction', 'event_type', 'is_stock_relevant', 'materiality', 'ticker_relevance', 'time_horizon']",[],unanimous,high,True,[],['none'],False,['none'],"Deterministic pseudo-label consensus; eligibility excludes unresolved, irrelevant, missing-evidence, and provenance-conflict rows."
pseudo_label_consensus_v2,5a753d68deb2217b,VCB,2025-04-02,3,direct,low,neutral,other,short_term,True,1,1,1,1,5,"Vietcombank duy trì lãi suất từ 0,2% - 4,7%/năm trong tháng 4/2025.",[],"['materiality_score', 'novelty_score', 'reasoning_confidence', 'uncertainty_score']","['direction', 'is_stock_relevant', 'materiality', 'ticker_relevance', 'time_horizon']",['event_type'],majority_vote,medium,True,[],['numeric_score_outlier'],True,['numeric_score_outlier'],"Deterministic pseudo-label consensus; eligibility excludes unresolved, irrelevant, missing-evidence, and provenance-conflict rows."
pseudo_label_consensus_v2,5c232a6d94067b66,BSI,2026-06-22,3,direct,medium,support,dividend,short_term,True,3,3,2,2,3,BSI: Báo cáo kết quả đợt phát hành cổ phiếu để trả cổ tức,[],[],"['event_type', 'is_stock_relevant', 'ticker_relevance', 'time_horizon']","['direction', 'materiality']",majority_vote,medium,True,[],['none'],False,['none'],"Deterministic pseudo-label consensus; eligibility excludes unresolved, irrelevant, missing-evidence, and provenance-conflict rows."
